table,domain,rls_enabled,policy,cmd,roles,permissive,using_expr,with_check_expr,flags,notes,severity
ayush_encounters,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bank_accounts,Other,YES,bank_accounts_hospital_rls,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bank_transactions,Other,YES,bank_transactions_hospital_rls,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bed_demand_forecasts,IPD,YES,hospital_isolation_bed_demand,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
bed_demand_forecasts,IPD,YES,hospital_staff_bed_forecasts,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
bed_reservations,IPD,YES,hospital_staff_rw,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
beds,IPD,YES,Admins can manage beds,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
beds,IPD,YES,Users can view own hospital beds,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bill_amendments,Billing,YES,bill_amendments_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bill_discount_approvals,Billing,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bill_line_items,Billing,YES,Users can manage own hospital bill_line_items,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bill_line_items,Billing,YES,Users can view own hospital bill_line_items,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bill_payments,Billing,YES,Users can manage own hospital bill_payments,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bill_payments,Billing,YES,Users can view own hospital bill_payments,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bill_sequences,Billing,YES,Users can manage own hospital sequences,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
bills,Billing,YES,Users can manage own hospital bills,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
bills,Billing,YES,Users can view own hospital bills,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
bills,Billing,YES,aumrti_admin_read_all_bills,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,MULTIPLE PERMISSIVE (2),,MEDIUM
blood_antibody_screening,Blood Bank,YES,blood_antibody_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
blood_issues,Blood Bank,YES,blood_issues_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
blood_requests,Blood Bank,YES,blood_requests_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
blood_unit_tti_tests,Blood Bank,YES,blood_tti_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
blood_units,Blood Bank,YES,blood_units_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bmw_manifests,Biomedical Waste,YES,hospital_isolation_bmw_manifests,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
bmw_records,Biomedical Waste,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT get_user_hospital_id() AS get_user_hospital_id)),,none,,OK
body_releases,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
bpmh_records,Other,YES,bpmh_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
braden_scale_assessments,Other,YES,braden_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
branches,Tenant,YES,Admins can manage branches,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
branches,Tenant,YES,Users can view own hospital branches,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
branches,Tenant,YES,aumrti_admin_read_all_branches,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,MULTIPLE PERMISSIVE (2),,MEDIUM
breakdown_logs,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT get_user_hospital_id() AS get_user_hospital_id)),,none,,OK
budget_lines,Other,YES,budget_lines_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
calibration_records,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT get_user_hospital_id() AS get_user_hospital_id)),,none,,OK
capa_records,Other,YES,Users can manage own hospital capa_records,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
capa_records,Other,YES,Users can view own hospital capa_records,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
care_bundle_checks,Other,YES,care_bundles_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
care_plan_tasks,Nursing,YES,care_plan_tasks_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
care_plan_tasks,Nursing,YES,care_plan_tasks_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
care_plans,Nursing,YES,care_plans_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
care_plans,Nursing,YES,care_plans_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
case_sheet_templates,Other,YES,cst_delete,DELETE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
case_sheet_templates,Other,YES,cst_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
case_sheet_templates,Other,YES,cst_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
case_sheet_templates,Other,YES,cst_update,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
cghs_echs_beneficiaries,PM-JAY,YES,cghs_echs_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
cghs_echs_beneficiaries,PM-JAY,YES,hospital_isolation_cghs_echs,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
chain_memberships,Tenant,YES,chain_memberships_platform_only,ALL,{authenticated},PERMISSIVE,true,true,OPEN-READ USING(true); OPEN-WRITE WITH CHECK(true),,CRITICAL
chart_of_accounts,Other,YES,chart_of_accounts_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
chart_of_accounts,Other,YES,chart_of_accounts_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
chemo_order_drugs,IPD,YES,chemo_order_drugs_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
chemo_orders,IPD,YES,chemo_orders_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
chemo_protocols,IPD,YES,chemo_protocols_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
chronic_disease_programs,Other,YES,Users can insert chronic programs for their hospital,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
chronic_disease_programs,Other,YES,Users can update chronic programs for their hospital,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,UPDATE no WITH CHECK (PG reuses USING - OK),,OK
chronic_disease_programs,Other,YES,Users can view chronic programs for their hospital,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
churn_remediation_actions,Platform,YES,churn_remediation_actions_admin_read,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,none,,OK
cleaning_schedules,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT get_user_hospital_id() AS get_user_hospital_id)),,none,,OK
clinical_alerts,Other,YES,clinical_alerts_insert,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
