table,domain,rls_enabled,policy,cmd,roles,permissive,using_expr,with_check_expr,flags,notes,severity
day_care_procedures,Other,YES,day_care_procedures_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
day_care_procedures,Other,YES,day_care_procedures_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
daycare_chairs,Other,YES,daycare_chairs_hospital,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
death_certificates,Other,YES,hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
demand_forecasts,Other,YES,Isolation policy for demand_forecasts,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
demand_forecasts,Other,YES,demand_forecasts_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
demand_forecasts,Other,YES,demand_forecasts_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
denial_logs,Other,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
dental_charts,Dental,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
dental_charts,Dental,YES,tenant_isolation_dental_charts,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
dental_lab_orders,Dental,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
dental_lab_orders,Dental,YES,tenant_isolation_dental_lab_orders,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
dental_treatment_plans,Dental,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
dental_treatment_plans,Dental,YES,tenant_isolation_dental_treatment_plans,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
department_indents,Tenant,YES,Users can manage own hospital department_indents,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
department_indents,Tenant,YES,Users can view own hospital department_indents,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
department_indents,Tenant,YES,department_indents_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
department_indents,Tenant,YES,department_indents_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
departments,Tenant,YES,Admins can manage departments,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
departments,Tenant,YES,Users can view own hospital departments,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
depreciation_postings,Other,YES,depreciation_postings_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
dialysis_machines,IPD,YES,Hospital isolation for dialysis_machines,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
dialysis_machines,IPD,YES,Users can insert dialysis machines in their hospital,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
dialysis_machines,IPD,YES,Users can update dialysis machines in their hospital,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,UPDATE no WITH CHECK (PG reuses USING - OK),,OK
dialysis_machines,IPD,YES,Users can view dialysis machines in their hospital,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
dialysis_patients,IPD,YES,Hospital isolation for dialysis_patients,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
dialysis_patients,IPD,YES,Users can insert dialysis patients in their hospital,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
dialysis_patients,IPD,YES,Users can update dialysis patients in their hospital,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,UPDATE no WITH CHECK (PG reuses USING - OK),,OK
dialysis_patients,IPD,YES,Users can view dialysis patients in their hospital,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
dialysis_sessions,IPD,YES,Hospital isolation for dialysis_sessions,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
dialysis_sessions,IPD,YES,Users can insert dialysis sessions in their hospital,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
dialysis_sessions,IPD,YES,Users can update dialysis sessions in their hospital,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,UPDATE no WITH CHECK (PG reuses USING - OK),,OK
dialysis_sessions,IPD,YES,Users can view dialysis sessions in their hospital,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
dialyzer_reuse,Other,YES,Users can insert dialyzer reuse in their hospital,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
dialyzer_reuse,Other,YES,Users can update dialyzer reuse in their hospital,UPDATE,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,UPDATE no WITH CHECK (PG reuses USING - OK),,OK
dialyzer_reuse,Other,YES,Users can view dialyzer reuse in their hospital,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
dialyzer_reuse,Other,YES,dialyzer_reuse_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
dialyzer_reuse,Other,YES,dialyzer_reuse_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
dicom_files,Radiology,YES,dicom_files_hospital_rls,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
diet_orders,Dietetics,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
diet_plans,Dietetics,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
diet_plans,Dietetics,YES,hospital_isolation_diet_plans,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
dietitian_notes,Dietetics,YES,dietitian_notes_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
disaster_drills,Emergency,YES,disaster_drills_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
disciplinary_actions,Other,YES,disciplinary_actions_hospital,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
discount_approvals,Billing,YES,Users can manage own hospital discount_approvals,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
discount_approvals,Billing,YES,Users can view own hospital discount_approvals,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
discount_codes,Billing,YES,discount_codes_aumrti_write,ALL,{authenticated},PERMISSIVE,is_aumrti_admin(),is_aumrti_admin(),none,,OK
discount_codes,Billing,YES,discount_codes_public_read,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
doctor_quick_picks,OPD,YES,dqp_delete,DELETE,{authenticated},PERMISSIVE,((doctor_id = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),,INITPLAN auth.*() per-row,,LOW
doctor_quick_picks,OPD,YES,dqp_insert,INSERT,{authenticated},PERMISSIVE,,((doctor_id = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),INITPLAN auth.*() per-row,,LOW
doctor_quick_picks,OPD,YES,dqp_select,SELECT,{authenticated},PERMISSIVE,((doctor_id = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),,INITPLAN auth.*() per-row,,LOW
doctor_quick_picks,OPD,YES,dqp_update,UPDATE,{authenticated},PERMISSIVE,((doctor_id = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),((doctor_id = ( SELECT users.id FROM users WHERE (users.auth_user_id = auth.uid()) LIMIT 1)) AND (hospital_id = get_user_hospital_id())),INITPLAN auth.*() per-row,,LOW
doctor_schedules,OPD,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
doctor_slots,OPD,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
donor_campaigns,Blood Bank,YES,hospital_isolation_donor_campaigns,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
donors,Blood Bank,YES,donors_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
drug_allergy_cross_reactivity,Pharmacy,YES,Anyone can read drug_allergy_cross_reactivity,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
drug_batches,Pharmacy,YES,Hospital isolation for drug_batches,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
drug_batches,Pharmacy,YES,Users can manage own hospital drug_batches,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
drug_batches,Pharmacy,YES,Users can view own hospital drug_batches,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
drug_interactions,Pharmacy,YES,Anyone can read drug_interactions,SELECT,{authenticated},PERMISSIVE,true,,OPEN-READ USING(true),,CRITICAL
drug_master,Pharmacy,YES,Users can manage own hospital drugs,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
drug_master,Pharmacy,YES,Users can view own hospital drugs,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
dunning_attempts,Other,YES,Hospital isolation on dunning_attempts,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
dunning_cadence_rules,Other,YES,dunning_cadence_rules_admin_all,ALL,{authenticated},PERMISSIVE,is_aumrti_admin(),is_aumrti_admin(),none,,OK
duty_roster,HR,YES,Users can manage own hospital duty_roster,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
duty_roster,HR,YES,Users can view own hospital duty_roster,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
duty_roster,HR,YES,duty_roster_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
duty_roster,HR,YES,duty_roster_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
ed_charge_items,Emergency,YES,Users can manage own hospital ed_charge_items,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ed_charge_items,Emergency,YES,Users can view own hospital ed_charge_items,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ed_handover_notes,Emergency,YES,Users can manage own hospital ed_handover_notes,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ed_handover_notes,Emergency,YES,Users can view own hospital ed_handover_notes,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ed_medications,Emergency,YES,Users can manage own hospital ed_medications,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ed_medications,Emergency,YES,Users can view own hospital ed_medications,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
ed_visits,Emergency,YES,Users can manage own hospital ed_visits,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
ed_visits,Emergency,YES,Users can view own hospital ed_visits,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
ed_visits,Emergency,YES,aumrti_admin_read_all_ed_visits,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,MULTIPLE PERMISSIVE (2),,MEDIUM
electrical_safety_logs,Other,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
email_notifications,Notifications,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
embryo_bank,IVF/ART,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
embryo_bank,IVF/ART,YES,tenant_isolation_embryo_bank,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
embryology_records,IVF/ART,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
embryology_records,IVF/ART,YES,tenant_isolation_embryology_records,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
emi_installments,Billing,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
emi_installments,Billing,YES,hospital_isolation_emi_installments,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
emi_plans,Billing,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
emi_plans,Billing,YES,hospital_isolation_emi_plans,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
emr_template_definitions,Other,YES,Isolation policy for emr_template_definitions,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
emr_template_definitions,Other,YES,emr_template_definitions_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
emr_template_definitions,Other,YES,emr_template_definitions_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
enterprise_leads,Other,YES,anon_leads_insert,INSERT,{anon},PERMISSIVE,,true,OPEN-WRITE WITH CHECK(true); ANON-REACHABLE,,CRITICAL
enterprise_leads,Other,YES,aumrti_admin_leads_all,ALL,{public},PERMISSIVE,is_aumrti_admin(),,none,,OK
enterprise_leads,Other,YES,authenticated_leads_insert,INSERT,{authenticated},PERMISSIVE,,true,OPEN-WRITE WITH CHECK(true),,CRITICAL
enterprise_leads,Other,YES,service_role_leads_all,ALL,{service_role},PERMISSIVE,true,true,none,,OK
entitlement_fail_open_events,Platform,YES,entitlement_fail_open_admin_read,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,none,,OK
entitlement_fail_open_events,Platform,YES,entitlement_fail_open_insert,INSERT,{authenticated},PERMISSIVE,,true,OPEN-WRITE WITH CHECK(true),,CRITICAL
epidemic_protocols,Other,YES,epidemic_protocols_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
equipment_master,Inventory,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT get_user_hospital_id() AS get_user_hospital_id)),,none,,OK
esg_monthly_metrics,Other,YES,esg_monthly_metrics_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
esi_beneficiaries,PM-JAY,YES,esi_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
esi_beneficiaries,PM-JAY,YES,esi_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
expense_records,Other,YES,expense_records_hospital_rls,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
external_lab_referrals,Other,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
facility_assets,Tenant,YES,hospital_isolation_facility_assets,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
facility_maintenance_logs,Tenant,YES,hospital_isolation_maintenance_logs,ALL,{public},PERMISSIVE,(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id IN ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
fall_risk_assessments,Nursing,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
fcm_tokens,Other,YES,aumrti_admin_read_all_fcm_tokens,SELECT,{authenticated},PERMISSIVE,is_aumrti_admin(),,none,,OK
fcm_tokens,Other,YES,fcm_tokens_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
feedback_records,Patient,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
fire_safety_drills,Other,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
fixed_assets,Other,YES,fixed_assets_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
full_final_settlements,Other,YES,full_final_settlements_hospital,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
govt_scheme_claims,PM-JAY,YES,govt_claims_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
govt_scheme_claims,PM-JAY,YES,govt_scheme_claims_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
govt_schemes,PM-JAY,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),,INITPLAN auth.*() per-row,,LOW
grievances,HR,YES,Hospital isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
grn_ai_log,AI,YES,Users can insert own hospital grn_ai_log,INSERT,{authenticated},PERMISSIVE,,(hospital_id = get_user_hospital_id()),none,,OK
grn_ai_log,AI,YES,Users can read own hospital grn_ai_log,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
grn_ai_log,AI,YES,grn_ai_log_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
grn_ai_log,AI,YES,grn_ai_log_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
grn_items,Procurement,YES,Users can manage own hospital grn_items,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
grn_items,Procurement,YES,Users can view own hospital grn_items,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
grn_items,Procurement,YES,grn_items_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
grn_items,Procurement,YES,grn_items_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,MULTIPLE PERMISSIVE (2),,MEDIUM
grn_records,Procurement,YES,Hospital isolation for grn_records,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
grn_records,Procurement,YES,Users can manage own hospital grn_records,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
grn_records,Procurement,YES,Users can view own hospital grn_records,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
guideline_adherence_log,Other,YES,guideline_log_isolation,ALL,{public},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.auth_user_id = auth.uid()))),INITPLAN auth.*() per-row,,LOW
guideline_adherence_log,Other,YES,guideline_log_service_role,ALL,{service_role},PERMISSIVE,true,true,none,,OK
hand_hygiene_audits,Infection Control,YES,hospital_isolation,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
hcx_submissions,Other,YES,hcx_submissions_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
hcx_submissions,Other,YES,hcx_submissions_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
health_coach_sessions,Other,YES,patient_own_coach_sessions,ALL,{public},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
health_packages,Other,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (3),,MEDIUM
health_packages,Other,YES,health_packages_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (3),,MEDIUM
health_packages,Other,YES,health_packages_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
health_packages,Other,YES,tenant_isolation_health_packages,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (3),,MEDIUM
hep_plans,Other,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
high_alert_double_checks,Other,YES,high_alert_checks_hospital_iso,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
hmis_reports,Integration,YES,Hospital isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),MULTIPLE PERMISSIVE (2),,MEDIUM
hmis_reports,Integration,YES,tenant_isolation_hmis_reports,ALL,{authenticated},PERMISSIVE,(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),(hospital_id = ( SELECT users.hospital_id FROM users WHERE (users.id = auth.uid()))),INITPLAN auth.*() per-row; MULTIPLE PERMISSIVE (2),,MEDIUM
home_care_plans,Other,YES,home_care_plans_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
home_care_visits,Other,YES,home_care_visits_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
home_tele_monitoring,Other,YES,home_tele_monitoring_hospital_isolation,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
hospital_abdm_config,Tenant,YES,abdm_config_all,ALL,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),(hospital_id = get_user_hospital_id()),none,,OK
hospital_abdm_config,Tenant,YES,abdm_config_select,SELECT,{authenticated},PERMISSIVE,(hospital_id = get_user_hospital_id()),,none,,OK
