table,domain,index,columns,kind,size_bytes,scans,flags
ai_provider_config,AI,ai_provider_config_hospital_id_feature_key_key,hospital_id feature_key,UNIQUE,16384,108,none
ai_provider_config,AI,ai_provider_config_pkey,id,PK,16384,0,none
ai_safety_flags,AI,ai_safety_flags_pkey,id,PK,8192,0,none
ai_safety_flags,AI,idx_ai_safety_hospital,hospital_id feature_key created_at,INDEX,8192,103,none
ai_safety_flags,AI,idx_ai_safety_patient,patient_id,INDEX,8192,0,ZERO scans since stats reset
ai_suggestions_audit,AI,ai_suggestions_audit_pkey,id,PK,16384,0,none
ai_suggestions_audit,AI,idx_ai_audit_hospital_feature,hospital_id feature_key created_at,INDEX,16384,104,none
ai_suggestions_audit,AI,idx_ai_audit_patient,patient_id created_at,INDEX,8192,0,ZERO scans since stats reset
ai_usage_logs,AI,ai_usage_logs_pkey,id,PK,16384,0,none
ai_usage_logs,AI,idx_ai_usage_logs_feature,hospital_id feature_key created_at,INDEX,32768,102,none
ai_usage_logs,AI,idx_ai_usage_logs_hospital_date,hospital_id created_at,INDEX,16384,0,ZERO scans since stats reset
ai_wallet_transactions,AI,ai_wallet_transactions_pkey,id,PK,90112,0,none
ai_wallet_transactions,AI,idx_ai_wallet_txn_hospital,hospital_id created_at,INDEX,172032,202,none
ai_wallet_transactions,AI,uq_ai_wallet_topup_source,source,UNIQUE,8192,0,none
alert_escalation_log,Other,alert_escalation_log_pkey,id,PK,8192,0,none
alert_escalation_log,Other,escalation_log_alert_idx,alert_id,INDEX,8192,0,ZERO scans since stats reset
alert_escalation_log,Other,escalation_log_hospital_idx,hospital_id,INDEX,8192,101,none
alert_escalation_rules,Other,alert_escalation_rules_pkey,id,PK,8192,0,none
alert_escalation_rules,Other,idx_alert_escalation_rules_hospital,hospital_id,INDEX,8192,1932,none
ambulance_dispatches,Emergency,ambulance_dispatches_hospital_id_call_received_at_idx,hospital_id call_received_at,INDEX,8192,1,none
ambulance_dispatches,Emergency,ambulance_dispatches_hospital_id_status_idx,hospital_id status,INDEX,8192,100,none
ambulance_dispatches,Emergency,ambulance_dispatches_pkey,id,PK,8192,0,none
ambulance_equipment_checks,Emergency,ambulance_equipment_checks_hospital_id_vehicle_id_check_dat_idx,hospital_id vehicle_id check_date,INDEX,8192,107,none
ambulance_equipment_checks,Emergency,ambulance_equipment_checks_pkey,id,PK,8192,0,none
ambulance_transit_treatment,Emergency,ambulance_transit_treatment_hospital_id_dispatch_id_idx,hospital_id dispatch_id,INDEX,8192,105,none
ambulance_transit_treatment,Emergency,ambulance_transit_treatment_pkey,id,PK,8192,0,none
ambulance_vehicles,Emergency,ambulance_vehicles_pkey,id,PK,16384,0,none
amc_contracts,Other,amc_contracts_pkey,id,PK,8192,0,none
amc_contracts,Other,idx_amc_expiry,hospital_id end_date,INDEX,8192,117,none
anaesthesia_records,Other,anaesthesia_records_pkey,id,PK,16384,0,none
andrology_reports,IVF/ART,andrology_reports_pkey,id,PK,8192,0,none
andrology_reports,IVF/ART,idx_andrology_hospital,hospital_id,INDEX,8192,111,none
andrology_reports,IVF/ART,idx_andrology_patient,patient_id,INDEX,8192,67,none
antibiotic_justifications,Other,antibiotic_justifications_hospital_id_created_at_idx,hospital_id created_at,INDEX,16384,0,ZERO scans since stats reset
antibiotic_justifications,Other,antibiotic_justifications_hospital_id_patient_id_idx,hospital_id patient_id,INDEX,16384,297,none
antibiotic_justifications,Other,antibiotic_justifications_pkey,id,PK,16384,0,none
antibiotic_restricted_list,Other,antibiotic_restricted_list_hospital_id_drug_name_key,hospital_id drug_name,UNIQUE,8192,0,none
antibiotic_restricted_list,Other,antibiotic_restricted_list_pkey,id,PK,8192,0,none
antibiotic_restricted_list,Other,idx_restricted_list_hospital,hospital_id is_active,INDEX,8192,101,none
api_configurations,Integration,api_configurations_hospital_id_service_key_key,hospital_id service_key,UNIQUE,16384,405,none
api_configurations,Integration,api_configurations_pkey,id,PK,16384,0,none
api_keys,Integration,api_keys_pkey,id,PK,16384,0,none
appointments,OPD,appointments_active_slot_uniq,hospital_id doctor_id appointment_date slot_time,UNIQUE,16384,0,none
appointments,OPD,appointments_pkey,id,PK,16384,0,none
appointments,OPD,idx_appointments_date,appointment_date hospital_id,INDEX,16384,0,ZERO scans since stats reset
